stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
1051,1000357140,補強片;拉銷;;SPHC;71x40x30x3.0T;;MS10;,EA,0.0,480.0,0.0,0.0,80.0,0.0,400.0,
1052,1000358081,保麗龍組;;;;;EP591;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
1053,1000358248,軸承;滾珠;6005ZZ;Ψ25xΨ47x12T;TPI;C3,EA,0.0,5024.0,0.0,0.0,1494.0,0.0,3530.0,
1054,1000358938,彈簧;壓縮;φ1.2xφ12.9x65Lx12N;65Mn;鍍白鋅;MS10;,EA,0.0,420.0,0.0,0.0,80.0,0.0,340.0,
1055,1000359184,軸心;拉銷;;35CrMo;鍍硬鉻;MS10;φ16*103.5L;,EA,0.0,420.0,0.0,0.0,80.0,0.0,340.0,
1056,1000359185,固定片;滑輪支撐片;左;SPHC;230x165.5x13x3.0T;;MS10,EA,0.0,400.0,0.0,0.0,80.0,0.0,320.0,
1057,1000359186,固定片;滑輪支撐片;右;SPHC;230x165.5x13x3.0T;;MS10,EA,0.0,400.0,0.0,0.0,80.0,0.0,320.0,
1058,1000359936,上層選擇片組-加工;;;;;MS21;,EA,0.0,310.0,0.0,0.0,20.0,0.0,290.0,
1059,1000359953,警告貼標;防倒;英文;;;;;MS24B,EA,0.0,960.0,0.0,0.0,80.0,0.0,880.0,
1060,1000360476,調整管組-加工;升降;右;鍍鉻;;;MS10B;,EA,0.0,200.0,0.0,0.0,40.0,0.0,160.0,
1061,1000360477,調整管組-加工;升降;左;鍍鉻;;;MS10B;,EA,0.0,135.0,0.0,0.0,40.0,0.0,95.0,
1062,1000360611,螺絲組;半成品;;;;MS10B;;,EA,0.0,200.0,0.0,0.0,40.0,0.0,160.0,
1063,1000360687,濾波器接地線;;;;;14AWG;360mm;KST250+Ø5齒型;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1064,1000360688,電源開關組;;;;;;600+120mm;KST 250x2+Ø5齒型;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1065,1000360987,心軸;扶手;;20CrMo;塗防鏽油;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1066,1000361084,五通管;傳動;B;20#;塗防鏽油;EP591;Φ76x64;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1067,1000361113,固定管;;φ50.8x3.0tx626.5L;;;;PL08B,EA,0.0,170.0,0.0,0.0,20.0,0.0,150.0,
1068,1000361416,固定片;護蓋;;SPHC;21.7x20xx12x2.5T;;EP591;,EA,0.0,4320.0,0.0,0.0,0.0,0.0,4320.0,
1069,1000361517,粉體塗料;美國紅（ABR);底漆,EA,0.0,75.0,0.0,0.0,0.0,0.0,75.0,CCDC
1070,1000362717,端塞;;;PVC;黑色/Black C;;GT01;M10 螺紋塞;市購品,EA,0.0,25280.0,0.0,0.0,11640.0,0.0,13640.0,
1071,1000363557,限位管;導桿;φ25.4x2.0tx130L;;;Q195;MS20,EA,0.0,160.0,0.0,0.0,160.0,0.0,0.0,
1072,1000363558,圓片;止擋;;SPHC;36x36x3.0T;;MS20;,EA,0.0,320.0,0.0,0.0,320.0,0.0,0.0,
1073,1000363568,封口片;車架;下;SPHC;95x45x1.6T;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1074,1000363760,警告貼標;車架;;;PC;;英文;GM40;,EA,0.0,7081.0,0.0,0.0,3001.0,0.0,4080.0,chênh lệch=40.00
1075,1000364334,墊圈;彈簧;φ8.0xφ13.0x2.0t;不鏽鋼;;,EA,0.0,4024.0,0.0,0.0,0.0,0.0,4024.0,
1076,1000365116,旋轉環;握把;短;45#;鍍鉻;MS10;φ25x55.4;,EA,0.0,404.0,0.0,0.0,84.0,0.0,320.0,
1077,1000365652,限位管;;φ31.8x3.0tx92L;;;Q195;MS10B,EA,0.0,80.0,0.0,0.0,80.0,0.0,0.0,
1078,1000366461,限位柱;止擋;;;鍍鉻;GM67;;,EA,0.0,340.0,0.0,0.0,128.0,0.0,212.0,
1079,1000367372,握把;;4;Q195;鍍鉻;MS10;;,EA,0.0,200.0,0.0,0.0,40.0,0.0,160.0,
1080,1000367374,端蓋;握把;長;20#;鍍鉻;MS10;;,EA,0.0,800.0,0.0,0.0,160.0,0.0,640.0,
1081,1000367375,握把;;3;Q195;鍍鉻;MS10;;,EA,0.0,200.0,0.0,0.0,40.0,0.0,160.0,
1082,1000367376,端蓋;握把;短;AL6061;陽極處理;MS10;;,EA,0.0,402.0,0.0,0.0,82.0,0.0,320.0,
1083,1000367377,固定套;握把;短;AL6061;陽極處理;MS10;;,EA,0.0,404.0,0.0,0.0,84.0,0.0,320.0,
1084,1000367378,心軸;握把;1;45#;鍍鉻;MS10;;,EA,0.0,202.0,0.0,0.0,42.0,0.0,160.0,
1085,1000367379,心軸;握把;2;45#;鍍鉻;MS10;;,EA,0.0,200.0,0.0,0.0,40.0,0.0,160.0,
1086,1000367616,旋轉環;握把;長;45#;鍍鉻;MS10;,EA,0.0,800.0,0.0,0.0,160.0,0.0,640.0,
1087,1000367740,連接管;車架;φ50.8x3.0tx267.9L;;;;GM116;,EA,0.0,140.0,0.0,0.0,59.0,0.0,81.0,
1088,1000371560,端塞;橢圓管;;TPU包覆射出;深灰色;Φ50.0xΦ100.0x3.0T;GM,EA,0.0,37935.0,0.0,0.0,25636.0,0.0,12299.0,
1089,1000371600,鍵;平;6x6x7.5;S45C;鍍鋅;GM107,EA,0.0,305.0,0.0,0.0,136.0,0.0,169.0,chênh lệch=40.00
1090,1000371640,止檔片;擺臂;;SPHC;4.0t;;GM105;,EA,0.0,250.0,0.0,0.0,69.0,0.0,181.0,
1091,1000371671,緩衝墊;;;PU;;;FW320;灌注,EA,0.0,398.0,0.0,0.0,250.0,0.0,148.0,
1092,1000371942,轉軸-加工;滑輪;;鍍硬鉻;;GM101-KM;,EA,0.0,1080.0,0.0,0.0,80.0,0.0,1000.0,
1093,1000371993,固定管;把手;Φ50.0xΦ100.0x3.0Tx446;;;Q195;GM10,EA,0.0,196.0,0.0,0.0,34.0,0.0,162.0,
1094,1000371997,緩衝塊;止擋;;NBR橡膠;;;GM105;,EA,0.0,2293.0,0.0,0.0,985.0,0.0,1308.0,chênh lệch=40.00
1095,1000372591,調整插銷;選擇片;;42CrMo;鍍鉻;MS10;PA6+15%GF;橘色;,EA,0.0,610.0,0.0,0.0,60.0,0.0,550.0,
1096,1000372737,護蓋組;半成品;;;;GM106;;,EA,0.0,9.0,0.0,0.0,0.0,0.0,9.0,thử khuôn/chưa nhập kho→tồn kho; tồn điều chỉnh (bù sản phẩm lỗi): delta=+9
1097,1000372751,外紙箱;橫跨管;;;包裝附件;GM106,EA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,thử khuôn/chưa nhập kho→tồn kho; tồn điều chỉnh (bù sản phẩm lỗi): delta=+1
1098,1000374182,螺絲;止付;M8X1.25PX20L;;六角承窩;;達克羅;耐落;G12.9;,EA,0.0,780.0,0.0,0.0,137.0,0.0,643.0,
1099,1000374546,滑輪護蓋;基座;;;Q520-7-3;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
1100,1000375014,補強片;;;SPHC;40X15.4X4.0T;;EP591;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
